date,time,now_1,correction_1,previous_1,now_2,correction_2,previous_2,predict_1,predict_2,now_3,correction_3,previous_3,label
2023/1/5,21:30:00,204,223,225,1694,1718,1710,225,1708,214,221,221,-1
2022/12/29,21:30:00,225,216,216,1710,1669,1672,225,1686,220.5,221.75,221.75,-1
2022/12/22,21:30:00,216,214,211,1672,1678,1671,222,1683,220.5,228,227.25,-1
2022/12/15,21:30:00,211,231,230,1671,1670,1671,230,1671,226.5,230.25,230,1
2022/12/8,21:30:00,230,226,225,1671,1609,1608,230,1600,229.25,229,228.75,1
2022/12/1,21:30:00,225,241,240,1608,1551,1551,235,1573,228,227,226.75,-1
2022/11/23,21:30:00,240,223,222,1551,1503,1507,225,1517,226,221.25,221,-1
2022/11/17,21:30:00,222,226,225,1507,1494,1493,225,1500,220.25,219,218.75,1
2022/11/10,21:30:00,225,218,217,1493,1487,1485,220,1475,218.25,219,218.75,1
2022/10/27,20:30:00,217,214,214,1438,1383,1385,220,1388,219.5,212.25,212.25,-1
2022/10/20,20:30:00,214,226,228,1385,1364,1368,230,1375,213.5,211,211.5,-1
2022/10/13,20:30:00,228,219,219,1368,1365,1361,225,1365,213.25,206.5,206.5,-1
2022/10/6,20:30:00,219,190,193,1361,1346,1347,203,1345,209.5,206.25,207,1
2022/9/29,20:30:00,193,209,213,1347,1376,1379,215,1388,210.25,215.75,216.75,-1
2022/9/22,20:30:00,213,208,213,1379,1401,1403,218,1400,220,222.75,224,-1
2022/9/15,20:30:00,213,218,222,1403,1401,1473,226,1475,227.5,232,233,-1
2022/9/8,20:30:00,222,228,232,1473,1437,1438,240,1435,236.75,240.5,241.5,-1
2022/9/1,20:30:00,232,237,243,1438,1412,1415,248,1438,246.75,245.5,247,-1
2022/8/25,20:30:00,243,245,250,1415,1434,1437,253,1442,253.75,249.75,246.75,-1
2022/8/18,20:30:00,250,252,262,1437,1430,1428,265,1438,257,253.75,252,-1
2022/8/11,20:30:00,262,248,260,1428,1420,1416,263,1407,257.25,251.75,254.75,1
2022/8/4,20:30:00,260,254,256,1416,1368,1359,259,1370,252.75,248.5,249.25,1
2022/7/28,20:30:00,256,261,251,1359,1384,1384,253,1380,246.5,242.75,240.5,1
2022/7/21,20:30:00,251,244,244,1384,1333,1331,240,1340,240.25,235.75,235.75,1
2022/7/14,20:30:00,244,235,235,1331,1372,1375,235,1383,234.75,232.5,232.5,-1
2022/6/30,20:30:00,231,233,229,1328,1331,1315,228,1310,229.5,224.5,223.5,1
2022/6/16,20:30:00,229,232,229,1312,1309,1306,215,1302,217,215.75,215,1
2022/6/9,20:30:00,229,202,200,1306,1306,1309,210,1305,214.25,207,206.5,1
2022/6/2,20:30:00,200,211,210,1309,1343,1346,210,1325,207.75,207,206.75,-1
2022/5/19,20:30:00,218,197,203,1317,1342,1343,200,1320,200.25,191.25,192.75,1
2022/5/12,20:30:00,203,202,200,1343,1387,1384,195,1380,191.75,188.5,188,1
2022/5/5,20:30:00,200,181,180,1384,1403,1408,182,1400,187.25,179.75,179.75,1
2022/4/28,20:30:00,180,185,184,1408,1409,1417,180,1403,178.75,177.25,177.25,1
2022/4/21,20:30:00,184,186,185,1417,1475,1475,180,1455,184.25,178,172.25,1
2022/4/7,20:30:00,166,171,202,1523,1506,1307,200,1311,192.25,200.75,208.5,-1
2022/3/31,20:30:00,202,188,187,1307,1342,1350,197,1350,207.5,212,211.75,-1
2022/3/24,20:30:00,187,215,214,1350,1417,1419,212,1410,210.75,223.25,223,-1
2022/3/17,20:30:00,214,229,227,1419,1490,1494,220,1485,222,231.75,231.25,-1
2022/3/10,21:30:00,227,216,215,1494,1469,1476,217,1460,230.5,230.75,230.5,1
2022/3/3,21:30:00,215,233,232,1476,1474,1476,226,1475,229.5,236.5,236.25,-1
2022/2/24,21:30:00,232,249,248,1476,1588,1593,235,1580,235.25,243.5,243.25,-1
